学号,学院,教学班,姓名,手机号,楼群,楼号,楼层,宿舍号,性别,是否有车
104012019139,传播学院,21播音与主持艺术,樊健,14511348707,李苑,1,1,101,女,有
104012019106,传播学院,21播音与主持艺术,汪建国,18201920468,李苑,1,1,101,女,没有
104012019170,传播学院,21播音与主持艺术,赵玉华,13593324854,李苑,1,1,101,女,有
104012019053,传播学院,21播音与主持艺术,陈兵,15101389160,李苑,1,1,101,女,没有
104082019181,传播学院,2022级广播电视编导,杨俊,15010611727,李苑,1,1,102,女,有
104082019038,传播学院,2022级广播电视编导,姬瑞,14581861652,李苑,1,1,102,女,有
104082019117,传播学院,2022级广播电视编导,李建军,15546139736,李苑,1,1,102,女,没有
104082019140,传播学院,2022级广播电视编导,胡丹,13901254877,李苑,1,1,102,女,有
104092019058,传播学院,2029广告学,胡云,13098496963,李苑,1,1,103,女,没有
104092019105,传播学院,2029广告学,刘杨,14502756274,李苑,1,1,103,女,没有
104092019150,传播学院,2029广告学,王玉,18866016179,李苑,1,1,103,女,有
104092019097,传播学院,2029广告学,武桂荣,14598819421,李苑,1,1,103,女,有
104002019153,传播学院,2029广告学,王涛,13821622208,李苑,1,1,104,女,没有
104002019129,传播学院,2029广告学,崔丹,13046739242,李苑,1,1,104,女,有
104002019091,传播学院,2029广告学,张博,18529926994,李苑,1,1,104,女,没有
104002019067,传播学院,2029广告学,尹玲,13322347961,李苑,1,1,104,女,有
104072019185,传播学院,21广告学,王建国,18179063480,李苑,1,1,105,女,没有
104072019008,传播学院,21广告学,段博,18159151519,李苑,1,1,105,女,有
104072019042,传播学院,21广告学,陈欢,15819294797,李苑,1,1,105,女,有
104072019056,传播学院,21广告学,屈金凤,18012193580,李苑,1,1,105,女,有
104012019105,传播学院,2029广播电视编导（闽台）,王强,15553345021,李苑,1,1,106,女,有
104012019040,传播学院,2029广播电视编导（闽台）,刘丽,18804419209,李苑,1,1,106,女,没有
104012019019,传播学院,2029广播电视编导（闽台）,梁娟,13837219886,李苑,1,1,106,女,没有
104012019037,传播学院,2029广播电视编导（闽台）,马建军,13355581314,李苑,1,1,106,女,没有
104062019114,传播学院,2022级新闻传播学类2班,杨伟,15380355934,李苑,1,1,107,女,有
104062019137,传播学院,2022级新闻传播学类2班,李辉,18511476329,李苑,1,1,107,女,没有
104062019017,传播学院,2022级新闻传播学类2班,刘桂英,14521030819,李苑,1,1,107,女,有
104062019131,传播学院,2022级新闻传播学类2班,陈秀芳,14512938366,李苑,1,1,107,女,有
104042019134,传播学院,2029广播电视学 ,房红梅,13419003240,李苑,1,1,108,女,有
104042019068,传播学院,2029广播电视学 ,陈婷,13207293757,李苑,1,1,108,女,有
104042019049,传播学院,2029广播电视学 ,钱丽,15816900062,李苑,1,1,108,女,没有
104042019039,传播学院,2029广播电视学 ,林静,13735760242,李苑,1,1,108,女,有
104102019069,传播学院,21广播电视编导,刘莉,15975384617,李苑,1,1,109,女,没有
104102019035,传播学院,21广播电视编导,苏彬,14591378446,李苑,1,1,109,女,有
104102019092,传播学院,21广播电视编导,陈明,13430063231,李苑,1,1,109,女,有
104102019111,传播学院,21广播电视编导,马瑜,13216003874,李苑,1,1,109,女,有
104062019118,传播学院,2022级新闻传播学类2班,李丽丽,13644252212,李苑,1,1,110,女,没有
104062019094,传播学院,2022级新闻传播学类2班,林娜,15667038028,李苑,1,1,110,女,有
104062019106,传播学院,2022级新闻传播学类2班,马颖,15999855690,李苑,1,1,110,女,没有
104062019077,传播学院,2022级新闻传播学类2班,魏莉,18767736907,李苑,1,1,110,女,有
104012019187,传播学院,2029广播电视编导（闽台）,王磊,13983154185,李苑,1,1,111,女,没有
104012019136,传播学院,2029广播电视编导（闽台）,关斌,18034059668,李苑,1,1,111,女,没有
104012019166,传播学院,2029广播电视编导（闽台）,范洋,18781364003,李苑,1,1,111,女,没有
104012019052,传播学院,2029广播电视编导（闽台）,秦婷婷,13855404033,李苑,1,1,111,女,有
104072019116,传播学院,2022级广播电视编导,莫峰,14598277341,李苑,1,1,112,女,没有
104072019050,传播学院,2022级广播电视编导,王萍,14745463457,李苑,1,1,112,女,有
104072019190,传播学院,2022级广播电视编导,陈丹,15546407816,李苑,1,1,112,女,有
104072019064,传播学院,2022级广播电视编导,王燕,14738141931,李苑,1,1,112,女,有
104002019133,传播学院,2029广播电视学 ,席琳,14524831443,李苑,1,1,113,女,有
104002019065,传播学院,2029广播电视学 ,原畅,13996024680,李苑,1,1,113,女,有
104002019169,传播学院,2029广播电视学 ,耿欣,15832976943,李苑,1,1,113,女,没有
104002019090,传播学院,2029广播电视学 ,雷文,15945144977,李苑,1,1,113,女,有
104082019133,传播学院,2022级广播电视编导,卢雪,13117445154,李苑,1,1,114,女,有
104082019010,传播学院,2022级广播电视编导,康璐,13291433294,李苑,1,1,114,女,没有
104082019185,传播学院,2022级广播电视编导,孙杨,15700664201,李苑,1,1,114,女,有
104082019026,传播学院,2022级广播电视编导,房峰,18158639289,李苑,1,1,114,女,有
104092019183,传播学院,21广告学(闽台),何娟,15707449250,李苑,1,1,115,女,有
104092019190,传播学院,21广告学(闽台),陈飞,15094618584,李苑,1,1,115,女,有
104092019138,传播学院,21广告学(闽台),鞠倩,13853556041,李苑,1,1,115,女,有
104092019139,传播学院,21广告学(闽台),李彬,14503019205,李苑,1,1,115,女,没有
104102019163,传播学院,21广播电视学,苏刚,18139749461,李苑,1,1,116,女,有
104102019012,传播学院,21广播电视学,丁淑兰,13705356443,李苑,1,1,116,女,没有
104102019060,传播学院,21广播电视学,王荣,18640684413,李苑,1,1,116,女,有
104102019140,传播学院,21广播电视学,朱瑜,15201219633,李苑,1,1,116,女,没有
104032019146,传播学院,2029广播电视编导,廖兰英,15947374281,李苑,1,1,117,女,没有
104032019116,传播学院,2029广播电视编导,施辉,13854829548,李苑,1,1,117,女,有
104032019045,传播学院,2029广播电视编导,施华,18538868717,李苑,1,1,117,女,有
104032019178,传播学院,2029广播电视编导,宋秀珍,15559084101,李苑,1,1,117,女,没有
104052019053,传播学院,2029广告学,赖晨,13305646272,李苑,1,1,118,女,没有
104052019145,传播学院,2029广告学,丁桂花,15607863305,李苑,1,1,118,女,有
104052019060,传播学院,2029广告学,廖红,15844434793,李苑,1,1,118,女,没有
104052019164,传播学院,2029广告学,李伟,18955722572,李苑,1,1,118,女,没有
104092019166,传播学院,21广告学(闽台),邱建华,13818364333,李苑,1,1,119,女,有
104092019076,传播学院,21广告学(闽台),傅磊,15750262567,李苑,1,1,119,女,没有
104092019112,传播学院,21广告学(闽台),王浩,13464447890,李苑,1,1,119,女,有
104092019065,传播学院,21广告学(闽台),薛淑珍,13607268847,李苑,1,1,119,女,有
104092019063,传播学院,21播音与主持艺术,岳静,18593852368,李苑,1,1,120,女,有
104092019045,传播学院,21播音与主持艺术,孔秀兰,13724560573,李苑,1,1,120,女,没有
104092019152,传播学院,21播音与主持艺术,黄鹏,18833415631,李苑,1,1,120,女,没有
104092019086,传播学院,21播音与主持艺术,吴坤,13733251704,李苑,1,1,120,女,有
104022019198,传播学院,2022级播音与主持艺术,唐红霞,14589115008,李苑,1,1,121,女,没有
104022019045,传播学院,2022级播音与主持艺术,王凤英,18135102434,李苑,1,1,121,女,没有
104022019080,传播学院,2022级播音与主持艺术,田佳,15662811599,李苑,1,1,121,女,没有
104022019040,传播学院,2022级播音与主持艺术,周斌,15115010008,李苑,1,1,121,女,没有
104062019000,传播学院,2022级广播电视编导,虞利,13121363950,李苑,1,1,122,女,有
104062019104,传播学院,2022级广播电视编导,朱利,15847044196,李苑,1,1,122,女,没有
104062019064,传播学院,2022级广播电视编导,袁玲,18761969758,李苑,1,1,122,女,没有
